Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core2 Quad Q8400,807,49.5,16598,https://cpu.userbenchmark.com/SpeedTest/1663/IntelR-CoreTM2-Quad-CPU----Q8400----266GHz
CPU,,AMD,Phenom II X3 710,808,49.5,914,https://cpu.userbenchmark.com/SpeedTest/2275/AMD-Phenomtm-II-X3-710-Processor
CPU,,Intel,Core i3-2348M,809,49.5,5096,https://cpu.userbenchmark.com/SpeedTest/2278/IntelR-CoreTM-i3-2348M-CPU---230GHz
CPU,,Intel,Core i3-2328M,810,49.4,8583,https://cpu.userbenchmark.com/SpeedTest/2488/IntelR-CoreTM-i3-2328M-CPU---220GHz
CPU,,Intel,Pentium 3550M,811,49.4,643,https://cpu.userbenchmark.com/SpeedTest/9225/IntelR-PentiumR-CPU-3550M---230GHz
CPU,,AMD,A8-3850 APU,812,49.4,2955,https://cpu.userbenchmark.com/SpeedTest/4311/AMD-A8-3850-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i5 660,813,49.4,5932,https://cpu.userbenchmark.com/SpeedTest/2846/IntelR-CoreTM-i5-CPU---------660----333GHz
CPU,AD9800AUABBOX,AMD,A12-9800 APU (2016 M.BR),814,49.4,3953,https://cpu.userbenchmark.com/SpeedTest/283761/AMD-A12-9800-RADEON-R7-12-COMPUTE-CORES-4C-8G
CPU,,AMD,A6-3670 APU,815,49.4,2311,https://cpu.userbenchmark.com/SpeedTest/4657/AMD-A6-3670-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i5-3317U,816,49.3,26348,https://cpu.userbenchmark.com/Intel-Core-i5-3317U/Rating/2744
CPU,,AMD,Athlon II X4 635,817,49.2,5040,https://cpu.userbenchmark.com/SpeedTest/3369/AMD-Athlontm-II-X4-635-Processor
CPU,,AMD,Athlon II X3 460,818,49.2,1060,https://cpu.userbenchmark.com/SpeedTest/6695/AMD-Athlontm-II-X3-460-Processor
CPU,,Intel,Celeron G1610,819,49.1,5136,https://cpu.userbenchmark.com/SpeedTest/3109/IntelR-CeleronR-CPU-G1610---260GHz
CPU,,Intel,Pentium 4417U,820,49,2567,https://cpu.userbenchmark.com/SpeedTest/747524/IntelR-PentiumR-CPU-4417U---230GHz
CPU,,Intel,Core2 Extreme Q9300,821,49,643,https://cpu.userbenchmark.com/SpeedTest/4063/IntelR-CoreTM2-Extreme-CPU-Q9300----253GHz
CPU,,Intel,Pentium G640,822,48.9,2735,https://cpu.userbenchmark.com/SpeedTest/618/IntelR-PentiumR-CPU-G640---280GHz
CPU,,Intel,Xeon W3503,823,48.9,1598,https://cpu.userbenchmark.com/SpeedTest/3723/IntelR-XeonR-CPU-----------W3503----240GHz
CPU,,AMD,Phenom 9850,824,48.9,2047,https://cpu.userbenchmark.com/SpeedTest/2967/AMD-Phenomtm-9850-Quad-Core-Processor
CPU,,Intel,Core i5 650,825,48.8,46613,https://cpu.userbenchmark.com/SpeedTest/340/IntelR-CoreTM-i5-CPU---------650----320GHz
CPU,,Intel,Pentium G630,826,48.8,11330,https://cpu.userbenchmark.com/SpeedTest/3112/IntelR-PentiumR-CPU-G630---270GHz
CPU,,Intel,Core i3-5005U,827,48.7,56857,https://cpu.userbenchmark.com/SpeedTest/24957/IntelR-CoreTM-i3-5005U-CPU---200GHz
CPU,FJ8066201930905,Intel,Pentium 4405U,828,48.6,3400,https://cpu.userbenchmark.com/SpeedTest/54474/IntelR-PentiumR-CPU-4405U---210GHz
CPU,,Intel,Core i3 550,829,48.5,18861,https://cpu.userbenchmark.com/SpeedTest/632/IntelR-CoreTM-i3-CPU---------550----320GHz
CPU,,AMD,Phenom II X2 560,830,48.5,1766,https://cpu.userbenchmark.com/SpeedTest/5408/AMD-Phenomtm-II-X2-560-Processor
CPU,,Intel,Core i3-6006U,831,48.5,51580,https://cpu.userbenchmark.com/SpeedTest/214467/IntelR-CoreTM-i3-6006U-CPU---200GHz
CPU,,Intel,Pentium G620,832,48.5,12672,https://cpu.userbenchmark.com/SpeedTest/2636/IntelR-PentiumR-CPU-G620---260GHz
CPU,,Intel,Core i3-4030U,833,48.4,22050,https://cpu.userbenchmark.com/SpeedTest/13661/IntelR-CoreTM-i3-4030U-CPU---190GHz
CPU,AD9700AGABBOX,AMD,A10-9700 APU (2016 M.BR),834,48.4,11022,https://cpu.userbenchmark.com/SpeedTest/262171/AMD-A10-9700-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,,AMD,Athlon II X3 455,835,48.4,3603,https://cpu.userbenchmark.com/SpeedTest/1884/AMD-Athlontm-II-X3-455-Processor
CPU,AD765KXBJABOX,AMD,A8-7650K APU (2014 D.Ka),836,48.3,15808,https://cpu.userbenchmark.com/SpeedTest/27184/AMD-A8-7650K-Radeon-R7-10-Compute-Cores-4C-6G
CPU,,Intel,Xeon E5420,837,48.3,1372,https://cpu.userbenchmark.com/SpeedTest/11278/IntelR-XeonR-CPU-----------E5420----250GHz
CPU,,Intel,Core2 Quad Q9300,838,48.3,10714,https://cpu.userbenchmark.com/SpeedTest/832/IntelR-CoreTM2-Quad--CPU---Q9300----250GHz
CPU,,Intel,Core i3-2310M,839,48.2,23710,https://cpu.userbenchmark.com/SpeedTest/159/IntelR-CoreTM-i3-2310M-CPU---210GHz
CPU,,AMD,Athlon II X4 630,840,48.2,7208,https://cpu.userbenchmark.com/SpeedTest/471/AMD-Athlontm-II-X4-630-Processor
CPU,,AMD,A10-6700T APU (2013 D.Ri),841,48.2,80,https://cpu.userbenchmark.com/SpeedTest/5691/AMD-A10-6700T-APU-with-Radeontm-HD-Graphics
CPU,AD786KYBJCSBX,AMD,A10-7860K APU (2014 D.Ka),842,48.2,12269,https://cpu.userbenchmark.com/SpeedTest/83781/AMD-A10-7860K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,,Intel,Core i7-8500Y,843,48.1,592,https://cpu.userbenchmark.com/SpeedTest/590466/IntelR-CoreTM-i7-8500Y-CPU---150GHz
